Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
Downtown 81 / New York Beat Movie,1981,Downtown%2081%20%2F%20New%20York%20Beat%20Movie,Downtown81_pf,Courtesy of Photofest,Directed by,Edo Bertoglio,http://imdb.com/name/nm0078166/,Guggenheim Museum<br>Upper East Side<br>Manhattan,40.782972,-73.959376,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0208993/,"Guggenheim Musem, 88th St and 5th Avenue",,Y,125,,Y
Eternal Sunshine of the Spotless Mind,2004,Eternal%20Sunshine%20of%20the%20Spotless%20Mind,EternalSunshine_ec,"Courtesy of Everett Collection, Inc.",Directed by,Michel Gondry,http://imdb.com/name/nm0327273/,Orchard St. and Rivington St.<br>Lower East Side<br>Manhattan,40.7203,-73.9891,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0338013/,Orchard Street,,Y,250-251,,Y
Fame,1980,Fame,,,Directed by,Alan Parker,http://imdb.com/name/nm0000570/,High School of the Performing Arts<br>120 W. 46th St.<br>Manhattan,40.757566,-73.983047,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0080716/,46th street bet 6th ave and broadway,,Y,115,,N
Fame,1980,Fame,,,Directed by,Alan Parker,http://imdb.com/name/nm0000570/,W. 59th St. and Tenth Ave.<br>Upper West Side<br>Manhattan,40.7704,-73.9876,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0080716/,59th Street and 10th Avenue,,Y,122,,N
Ferry Tales,2003,Ferry%20Tales,FerryTales_ec,"Courtesy of Everett Collection, Inc.",Directed by,Katja Esson,http://imdb.com/name/nm1534515/,St. George Station<br>Staten Island,40.64456836,-74.072721,Staten Island,Staten Island,N/A,Film,http://www.imdb.com/title/tt0363607/,Staten Island Ferry Terminal St. George,,Y,196-197,,Y
Force of Evil,1948,Force%20of%20Evil,,,Directed by,Abraham Polonsky,http://imdb.com/name/nm0689796/,George Washington Bridge<br>Manhattan,40.84936524,-73.94247293,Manhattan,Washington Heights,N/A,Film,http://imdb.com/title/tt0040366/,near the George Washington Bridge,,Y,33,,N
Fort Apache the Bronx,1981,Fort%20Apache%20the%20Bronx,FortApache_ec,"Courtesy of Everett Collection, Inc.",Directed by,Daniel Petrie,http://imdb.com/name/nm0677951/,A South Bronx rooftop<br>The Bronx,40.81744688,-73.90884876,The Bronx,The Bronx,Rooftops,Film,http://imdb.com/title/tt0082402/,South Bronx rooftop,,Y,126,,Y
Ghostbusters,1984,Ghostbusters,Ghostbusters_pf,Courtesy of Photofest,Directed by,Ivan Reitman,http://imdb.com/name/nm0718645/,Columbus Circle<br>Upper West Side<br>Manhattan,40.76812671,-73.98195505,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0087332/,Columbus Circle,,Y,181-183,,Y
Ghostbusters,1984,Ghostbusters,Ghostbusters2_pf,Courtesy of Photofest,Directed by,Ivan Reitman,http://imdb.com/name/nm0718645/,W. 66th St. and Central Park West<br>Upper West Side<br>Manhattan,40.7724,-73.9787,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0087332/,66th Street and Central Park West,poor quality,Y,118,,Y
Godspell,1973,Godspell,Godspell3_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,World Trade Center<br>Lower Manhattan,40.71226431,-74.01123941,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0070121/,Roof of WTC,poor quality,Y,72-73,,Y
Godspell,1973,Godspell,Godspell4_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Times Square<br>Manhattan,40.75931801,-73.98484647,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0070121/,"Accutron Watch Sign, Times Square",poor quality,Y,72-73,,Y
Godspell,1973,Godspell,Godspell7_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Lincoln Center<br>Upper West Side<br>Manhattan,40.77230313,-73.98337662,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0070121/,Lincoln Center - Columbus Avenue & 61st Street,poor quality,Y,72-73,,Y
Godspell,1973,Godspell,Godspell8_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Lincoln Center Plaza<br>Upper West Side<br>Manhattan,40.77335125,-73.98368776,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0070121/,"Empire Diner, Tenth Ave at 22nd Street",poor quality,Y,72-73,,Y
Godspell,1973,Godspell,Godspell2_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Bethesda Fountain<br>Central Park<br>Manhattan,40.77436686,-73.97078633,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0070121/,"Betheda Fountain, Central Park",poor quality,Y,72-73,,Y
Godspell,1973,Godspell,Godspell6_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Ramble<br>Central Park<br>Manhattan,40.77646303,-73.97097945,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0070121/,"Ramble, Central Park",poor quality,Y,72-73,,Y
Godspell,1973,Godspell,Godspell1_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Under Triboro Bridge<br>Randalls Island,40.78457084,-73.92944813,Manhattan,Randall's Island,N/A,Film,http://www.imdb.com/title/tt0070121/,"Under Triboro Bridge, Randalls Island",poor quality,Y,72-73,,Y
Godspell,1973,Godspell,Godspell5_pf,Courtesy of Photofest,Directed by,David Greene,http://imdb.com/name/nm0338719/,Soldiers and Sailor's Monument<br>Riverside Park (at 89th St.)<br>Manhattan,40.79230402,-73.97877395,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0070121/,"Soldiers and Sailor's Monument, 89th street Riverside Park",poor quality,Y,72-73,,Y
Godzilla,1988,Godzilla,Godzilla_ec,"Courtesy of Everett Collection, Inc.",Directed by,Roland Emmerich,http://imdb.com/name/nm0000386/,Madison Square Garden<br>Midtown<br>Manhattan,40.75034558,-73.99149835,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0120685/,Madison Square Garden,Additional image p228-229,Y,180,,Y
